id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
1,MT0802,Tanjung,Mimusops elengi,Pohon Muda,icon/young_tree.svg,-,6,2,Tahura Sultan Syarif Qasim,Mineral,Bumi Perkemahan,0.682266,101.4261864,54.10378012,2.23,Belum,-,-,-,7/28/2021 10:59,"50,000.00",8.54,-,Krisnawati et al. (2012),media/1627462871550.jpg,media/1627462851534.jpg,media/1627462827811.jpg,media/1627462896080.jpg,adopsipohonriau/1
2,MT0803,Tanjung,Mimusops elengi,Pohon Muda,icon/young_tree.svg,-,8,2.2,Tahura Sultan Syarif Qasim,Mineral,Bumi Perkemahan,0.6822707,101.4262508,41.69025987,2.23,Belum,-,-,-,7/28/2021 12:07,"50,000.00",16.43,-,Krisnawati et al. (2012),media/1627463214622.jpg,media/1627463194125.jpg,media/1627463171243.jpg,media/1627463236937.jpg,adopsipohonriau/2
3,MT0804,Ketapang Kencana,-,Pohon Muda,icon/young_tree.svg,-,12,3,Tahura Sultan Syarif Qasim,Mineral,Bumi Perkemahan,0.6822835,101.42618,49.63889119,2.23,Belum,-,-,-,7/28/2021 1:13,"50,000.00",109.29,-,Brown (1997),media/1627463560207.jpg,media/1627463532094.jpg,media/1627463511400.jpg,media/1627463588086.jpg,adopsipohonriau/3
4,MT0805,Pulai,Alstonia scholaris,Pohon Muda,icon/young_tree.svg,-,8,2.5,Tahura Sultan Syarif Qasim,Mineral,Bumi Perkemahan,0.6822739,101.4262083,49.83350039,2.23,Belum,-,-,-,7/28/2021 2:17,"50,000.00",8.54,-,Krisnawati et al. (2012),media/1627463864772.jpg,media/1627463851471.jpg,media/1627463835724.jpg,media/1627463881592.jpg,adopsipohonriau/4
5,MT0806,Tanjung,Mimusops elengi,Pohon Muda,icon/young_tree.svg,-,6,2.3,Tahura Sultan Syarif Qasim,Mineral,Bumi Perkemahan,0.6823006,101.4261356,48.44067635,2.23,Belum,-,-,-,7/28/2021 3:23,"50,000.00",9.79,-,Krisnawati et al. (2012),media/1627464232136.jpg,media/1627464209269.jpg,media/1627464186716.jpg,media/1627464246027.jpg,adopsipohonriau/5
6,MT0872,Pagar-pagar,Ixonanthes icosandra,Pohon Dewasa,icon/mature_tree.svg,-,41,15,Tahura Sultan Syarif Qasim,Mineral,Km 4,0.6930682,101.4201987,49.98025503,2.1,Belum,-,-,-,8/18/2021 10:36,"200,000.00","2,061.17",-,Krisnawati et al. (2012),media/1629257799152.jpg,media/1629257862009.jpg,media/1629257851464.jpg,media/1629257910938.jpg,adopsipohonriau/6
7,MT0873,Lalan,Santiria laevigata,Pohon Muda,icon/young_tree.svg,-,30,17,Tahura Sultan Syarif Qasim,Mineral,Km 4,0.6931286,101.4201604,35.16657821,2.1,Belum,-,-,-,8/18/2021 11:40,"50,000.00","1,046.75",-,Krisnawati et al. (2012),media/1629258118317.jpg,media/1629258142836.jpg,media/1629258132378.jpg,media/1629258152752.jpg,adopsipohonriau/7
8,MT0874,Kelat,Eugenia sp.,Pohon Dewasa,icon/mature_tree.svg,-,89,22,Tahura Sultan Syarif Qasim,Mineral,Km 4,0.6931082,101.4200699,63.98359658,2.11,Belum,-,-,-,8/18/2021 12:46,"200,000.00","14,427.35",-,Krisnawati et al. (2012),media/1629258426692.jpg,media/1629258412447.jpg,media/1629258400620.jpg,media/1629258438514.jpg,adopsipohonriau/8
9,MT0875,Rambai Burung,-,Pohon Muda,icon/young_tree.svg,-,35,16,Tahura Sultan Syarif Qasim,Mineral,Km 4,0.6930672,101.4201395,73.50019191,2.11,Belum,-,-,-,8/18/2021 1:49,"50,000.00","1,639.62",-,Brown (1997),media/1629258610799.jpg,media/1629258597540.jpg,media/1629258587276.jpg,media/1629258625230.jpg,adopsipohonriau/9
10,MT0876,Mersawa,Anisoptera sp.,Pohon Muda,icon/young_tree.svg,-,33,33,Tahura Sultan Syarif Qasim,Mineral,Km 4,0.6931407,101.4200255,52.16349763,2.12,Belum,-,-,-,8/18/2021 2:53,"50,000.00","2,704.80",-,Krisnawati et al. (2012),media/1629258804458.jpg,media/1629258858394.jpg,media/1629258842039.jpg,media/1629258825073.jpg,adopsipohonriau/10
